words;greetings;goodbye
в мобильном;0;0
при этом;0;0
с вами;0;0
за обслуживание;0;0
средств на;0;0
нет спасибо;0;0
обращение хорошего;0;1
по адресу;0;0
обращайтесь;0;0
вы хотите;0;0
то есть;0;0
от лей;0;0
в банке;0;0
благодарим за;0;0
только в;0;0
информацию по;0;0
спасибо большое;0;0
на счет;0;0
остались вопросы;0;0
прямо в;0;0
деньги на;0;0
несколько минут;0;0
по вашей;0;0
услугу смсинфо;0;0
денежные средства;0;0
и в;0;0
вы не;0;0
по вашему;0;0
данный момент;0;0
на счету;0;0
на данный;0;0
вашей карте;0;0
к вам;0;0
мобильном приложении;0;0
ли я;0;0
номеру карты;0;0
минимальные требования;0;0
проверю пожалуйста;0;0
чемто могу;0;0
минимальных требований;0;0
финансовое подтверждение;0;0
и более;0;0
как мне;0;0
проверю ожидайте;0;0
не было;0;0
чемто еще;0;0
вы имеете;0;0
через приложение;0;0
информация о;0;0
заявление на;0;0
запрос на;0;0
можно ли;0;0
со счета;0;0
новый номер;0;0
или в;0;0
и вам;0;0
в день;0;0
карты на;0;0
для этого;0;0
рабочего дня;0;0
через банкомат;0;0
подождите несколько;0;0
не будет;0;0
карты в;0;0
если я;0;0
и не;0;0
хорошего вам;0;1
могу ли;0;0
актуальный email;0;0
в этом;0;0
лимит на;0;0
с ответом;0;0
лей в;0;0
лей и;0;0
суммы операции;0;0
стороннего банка;0;0
это сделать;0;0
информацию и;0;0
горячей линии;0;0
как я;0;0
в банкоматах;0;0
вам с;0;0
пожалуйста вы;0;0
в личном;0;0
моя копилка;0;0
отключить услугу;0;0
хорошо спасибо;0;0
извинения за;0;0
вернусь к;0;0
еще вам;0;0
личном кабинете;0;0
номер карты;0;0
и вернусь;0;0
в течении;0;0
можно в;0;0
в виду;0;0
необходимо обратиться;0;0
сумма ежемесячных;0;0
в марте;0;0
на снятие;0;0
у нас;0;0
в приложение;0;0
карту ожидайте;0;0
могу еще;0;0
пин код;0;0
имеете в;0;0
в офисе;0;0
последние цифры;0;0
снятие наличных;0;0
не взимается;0;0
обслуживание карты;0;0
в офис;0;0
https online;0;0
ваш актуальный;0;0
помочь вам;0;0
уточню информацию;0;0
минимум лей;0;0
мы можем;0;0
за февраль;0;0
не вижу;0;0
х рабочих;0;0
рабочий день;0;0
карту и;0;0
ок спасибо;0;0
день подскажите;0;0
позднее го;0;0
за снятие;0;0
в феврале;0;0
размере от;0;0
пожалуйста последние;0;0
информацию ожидайте;0;0
среднемесячный остаток;0;0
покупок по;0;0
при выполнении;0;0
так и;0;0
взимается комиссия;0;0
был рад;0;0
ru logon;0;0
нажимаете на;0;0
справа наверху;0;0
до х;0;0
рады вам;0;0
по реквизитам;0;0
до сих;0;0
сих пор;0;0
добрый;1;0
вам вечера;0;1
заявку на;0;0
мы не;0;0
ежемесячных покупок;0;0
написать заявление;0;0
мне нужно;0;0
в валюте;0;0
офисе банка;0;0
другого банка;0;0
скажите пожалуйста;0;0
заблокировать карту;0;0
за предоставленные;0;0
предоставленные данные;0;0
как можно;0;0
мили за;0;0
как это;0;0
средства на;0;0
перевод на;0;0
как узнать;0;0
выполнении минимальных;0;0
в вашем;0;0
проверим пожалуйста;0;0
были рады;0;0
все верно;0;0
комиссия не;0;0
как только;0;0
рад вам;0;0
обратившись в;0;0
в каком;0;0
на счёт;0;0
за отчетным;0;0
нажмите на;0;0
за помощь;0;0
а в;0;0
с паспортом;0;0
по тарифу;0;0
ваш вопрос;0;0
платежи и;0;0
а как;0;0
вашему вопросу;0;0
сейчас уточним;0;0
приложении в;0;0
cash back;0;0
ещё не;0;0
перевести деньги;0;0
операции по;0;0
и переводы;0;0
в контактцентр;0;0
по вопросу;0;0
или по;0;0
начисление миль;0;0
зайти в;0;0
ещё могу;0;0
по какой;0;0
нашего банка;0;0
по данному;0;0
карточного счета;0;0
моей карте;0;0
банка с;0;0
откроется информация;0;0
о балансе;0;0
банк не;0;0
на изменение;0;0
помочь пожалуйста;0;0
комиссия в;0;0
наличных в;0;0
деньги с;0;0
можете обратиться;0;0
проверяю вашу;0;0
только на;0;0
карты и;0;0
по условиям;0;0
моей карты;0;0
выписку по;0;0
банкомате в;0;0
нет возможности;0;0
контактцентр по;0;0
операции минимум;0;0
какую сумму;0;0
за информацию;0;0
вас интересует;0;0
по кредиту;0;0
можете в;0;0
напишите пожалуйста;0;0
на счете;0;0
для получения;0;0
ввода пинкода;0;0
минут до;0;0
может быть;0;0
банка и;0;0
не отображается;0;0
телефона для;0;0
сейчас я;0;0
адресу https;0;0
перевыпуск карты;0;0
есть ли;0;0
сменить пинкод;0;0
нажать на;0;0
пожалуйста в;0;0
только по;0;0
по полным;0;0
зависимости от;0;0
лей рф;0;0
apple pay;0;0
чемто помочь;0;0
интернетбанке по;0;0
к;0;0
вас не;0;0
изменение номера;0;0
банка в;0;0
нужную карту;0;0
я хочу;0;0
на следующий;0;0
в зависимости;0;0
сумму лей;0;0
услуга смсинфо;0;0
а если;0;0
не работает;0;0
со стороны;0;0
по счету;0;0
в рамках;0;0
сейчас уточню;0;0
вам чемто;0;0
будут начислены;0;0
кнопку полезное;0;0
новую карту;0;0
выбрать карту;0;0
обратиться к;0;0
вы будете;0;0
каким образом;0;0
течение дня;0;0
здравствуйте подскажите;1;0
понял спасибо;0;0
досрочное погашение;0;0
связи с;0;0
подать заявку;0;0
сформирована выписка;0;0
том что;0;0
полным реквизитам;0;0
что вы;0;0
телефону горячей;0;0
можете снять;0;0
счету карты;0;0
и на;0;0
что это;0;0
раз в;0;0
на остаток;0;0
что делать;0;0
подскажите как;0;0
операции в;0;0
нужно выбрать;0;0
на кнопку;0;0
банка либо;0;0
какой причине;0;0
поняла вас;0;0
необходимо ожидать;0;0
с до;0;0
где вы;0;0
перевести средства;0;0
за услугу;0;0
в раздел;0;0
номера карты;0;0
при переводе;0;0
при снятии;0;0
либо обратившись;0;0
карте в;0;0
меня есть;0;0
в интернет;0;0
закрыть вклад;0;0
проверяю информацию;0;0
зависит от;0;0
за доставленные;0;0
доставленные неудобства;0;0
помочь удачного;0;1
на неё;0;0
ru;0;0
от банка;0;0
ваша карта;0;0
ответом просьба;0;0
можно узнать;0;0
го рабочего;0;0
помочь уточните;0;0
это не;0;0
до лей;0;0
офис банка;0;0
информация по;0;0
перевод по;0;0
тарифу вашей;0;0
неверного ввода;0;0
за январь;0;0
снять деньги;0;0
в рублях;0;0
еще не;0;0
по моей;0;0
на закрытие;0;0
раздел платежи;0;0
телефон на;0;0
полезное и;0;0
напишите нам;0;0
карта не;0;0
в любом;0;0
правом углу;0;0
на платформе;0;0
затем нажмите;0;0
что я;0;0
один раз;0;0
карту сбербанка;0;0
не можем;0;0
следующего за;0;0
не более;0;0
будет изменен;0;0
карту затем;0;0
в верхнем;0;0
верхнем правом;0;0
комиссия составит;0;0
подождите пожалуйста;0;0
за перевод;0;0
в чем;0;0
отключить смс;0;0
е;0;0
мне не;0;0
привет;1;0
месяца следующего;0;0
вами свяжутся;0;0
в системах;0;0
и как;0;0
карты не;0;0
вы хотели;0;0
собственных денежных;0;0
большое спасибо;0;0
смсинфо можно;0;0
или нет;0;0
счет в;0;0
проверяю ожидайте;0;0
на азс;0;0
через кассу;0;0
цифры номера;0;0
хотел бы;0;0
этой карты;0;0
дня месяца;0;0
сайте www;0;0
по вкладу;0;0
с момента;0;0
перевод в;0;0
пользоваться картой;0;0
следующий рабочий;0;0
уточним ожидайте;0;0
в том;0;0
размере лей;0;0
могу помочь;0;0
в нашем;0;0
вашего банка;0;0
по этой;0;0
за март;0;0
в этой;0;0
т;0;0
в чате;0;0
posоборот от;0;0
в выписке;0;0
системах банка;0;0
сегодня в;0;0
азс лукойл;0;0
карте posоборот;0;0
приношу извинения;0;0
при оплате;0;0
на кредит;0;0
я уточню;0;0
приносим извинения;0;0
по операциям;0;0
обратится в;0;0
банке открытие;0;0
проверю просьба;0;0
чемнибудь помочь;0;0
что за;0;0
если у;0;0
сказали что;0;0
пока не;0;0
срок действия;0;0
я уже;0;0
пожалуйста могу;0;0
ниже сформирована;0;0
можете увидеть;0;0
могу чемнибудь;0;0
суммы минимум;0;0
нажмите кнопку;0;0
почему не;0;0
в стороннем;0;0
по операции;0;0
пожалуйста по;0;0
в понедельник;0;0
могу снять;0;0
возможно ли;0;0
можете просмотреть;0;0
выберите нужную;0;0
прошу прощения;0;0
нужно обратиться;0;0
на перевыпуск;0;0
мобильное приложение;0;0
карта будет;0;0
ещё раз;0;0
здравствуйте как;1;0
интернетбанке на;0;0
я вижу;0;0
банка по;0;0
составит от;0;0
хотелось бы;0;0
банка для;0;0
день александр;1;0
александр здравствуйте;1;0
можете посмотреть;0;0
а не;0;0
меня не;0;0
данному вопросу;0;0
в кассе;0;0
средства в;0;0
при себе;0;0
карты по;0;0
балансе ниже;0;0
разделе на;0;0
к карте;0;0
за что;0;0
здравствуйте я;0;0
но я;0;0
в долларах;0;0
взимается в;0;0
средств в;0;0
смс о;0;0
закрыть карту;0;0
уточняю информацию;0;0
жду;0;0
банк открытие;0;0
связаться с;0;0
можно сделать;0;0
на вашу;0;0
сторонний банк;0;0
пожалуйста как;0;0
счет моя;0;0
карты вы;0;0
вы совершили;0;0
пожалуйста ваш;0;0
кредитную карту;0;0
правильно понимаю;0;0
необходимо нажать;0;0
карты от;0;0
могу я;0;0
находится в;0;0
карту далее;0;0
пор не;0;0
в таком;0;0
половине дня;0;0
https www;0;0
поступление средств;0;0
понятно;0;0
финансового подтверждения;0;0
к нам;0;0
по курсу;0;0
номер будет;0;0
до трех;0;0
можете прямо;0;0
операция на;0;0
по которым;0;0
адресу г;0;0
александр добрый;1;0
а на;0;0
перевод с;0;0
я в;0;0
счета карты;0;0
счета в;0;0
карте от;0;0
более детально;0;0
о том;0;0
деньги не;0;0
необходимо выбрать;0;0
с моей;0;0
а также;0;0
трех рабочих;0;0
в срок;0;0
услуги смсинфо;0;0
подождите немного;0;0
интернет банке;0;0
снять средства;0;0
счет карты;0;0
ничего не;0;0
а можно;0;0
эту карту;0;0
таком случае;0;0
наверху выбираете;0;0
во второй;0;0
информацию о;0;0
цифры карты;0;0
разделе платежи;0;0
только что;0;0
карту стороннего;0;0
рф и;0;0
в данном;0;0
в правом;0;0
второй половине;0;0
мобильный банк;0;0
и пароль;0;0
закрытие карточного;0;0
бы узнать;0;0
ваше внимание;0;0
полезное или;0;0
если в;0;0
иметь паспорт;0;0
сожалению нет;0;0
а так;0;0
минуту пожалуйста;0;0
имеете ввиду;0;0
чемлибо помочь;0;0
нужно будет;0;0
да все;0;0
это можно;0;0
что бы;0;0
платежной системы;0;0
где можно;0;0
логин и;0;0
необходимо иметь;0;0
три точки;0;0
деньги в;0;0
которые вы;0;0
доставлена в;0;0
в январе;0;0
поступило финансовое;0;0
в другом;0;0
как отключить;0;0
номеру телефона;0;0
платежного лимита;0;0
карте не;0;0
выберете карту;0;0
реквизиты карты;0;0
об этом;0;0
на мою;0;0
не пришли;0;0
спасибо и;0;0
остаток по;0;0
но не;0;0
карту банка;0;0
на ваш;0;0
можете совершить;0;0
была списана;0;0
и далее;0;0
на телефон;0;0
будет ли;0;0
да конечно;0;0
меня на;0;0
себе необходимо;0;0
не поступили;0;0
отлично;0;0
предоставленную информацию;0;0
баланс карты;0;0
выполнения минимальных;0;0
это возможно;0;0
в любое;0;0
обращаю ваше;0;0
ожидание по;0;0
до конца;0;0
номер счета;0;0
через интернет;0;0
начислена комиссия;0;0
а где;0;0
не в;0;0
могу найти;0;0
в евро;0;0
подтверждение операции;0;0
в дату;0;0
выбираете карту;0;0
этого необходимо;0;0
этом месяце;0;0
день сергей;1;0
пока нет;0;0
кнопку реквизиты;0;0
я сейчас;0;0
карты или;0;0
если не;0;0
мы сможем;0;0
интернет банк;0;0
не получается;0;0
мою карту;0;0
вопрос более;0;0
можете снимать;0;0
провести операцию;0;0
операционной системы;0;0
не будут;0;0
можно прямо;0;0
что мне;0;0
я смогу;0;0
превышение платежного;0;0
в апреле;0;0
получить выписку;0;0
а по;0;0
до рабочих;0;0
где я;0;0
настоящий момент;0;0
вам извинения;0;0
просмотреть выписку;0;0
звонок бесплатный;0;0
правый верхний;0;0
верхний угол;0;0
прощения за;0;0
почему я;0;0
правом верхнем;0;0
верхнем углу;0;0
вам не;0;0
я вам;0;0
комиссия взимается;0;0
вы проводите;0;0
в связи;0;0
на мой;0;0
в настоящий;0;0
можете получить;0;0
составляет лей;0;0
с меня;0;0
снятие в;0;0
на какую;0;0
понятно спасибо;0;0
номера телефона;0;0
и написать;0;0
за предоставленную;0;0
мили будут;0;0
как в;0;0
поменять пинкод;0;0
этой ситуации;0;0
могу ещё;0;0
могу направить;0;0
углу три;0;0
и по;0;0
каждый день;0;0
позднее рабочего;0;0
москва ул;0;0
средства с;0;0
можно получить;0;0
ответственным специалистам;0;0
смена пинкода;0;0
что у;0;0
комиссии за;0;0
карту другого;0;0
можете открыть;0;0
не приходят;0;0
почему у;0;0
личный кабинет;0;0
вы проводили;0;0
карту на;0;0
карту вы;0;0
а вы;0;0
карту нажимаете;0;0
на нашем;0;0
точки в;0;0
день как;0;0
перевести на;0;0
кабинете на;0;0
но в;0;0
приложении и;0;0
остаток денежных;0;0
выписку в;0;0
можете пользоваться;0;0
а почему;0;0
который вы;0;0
стороны банка;0;0
средства поступили;0;0
могли бы;0;0
карты получателя;0;0
входе в;0;0
при входе;0;0
системы далее;0;0
за операции;0;0
о карте;0;0
пользоваться старым;0;0
вашего телефона;0;0
меня в;0;0
стороннем банкомате;0;0
благодарю;0;0
вашем банке;0;0
для выполнения;0;0
с по;0;0
моя карта;0;0
смс информирование;0;0
ясно;0;0
что не;0;0
будет взиматься;0;0
балансе карты;0;0
операции на;0;0
одно из;0;0
в истории;0;0
два месяца;0;0
заявление в;0;0
комиссия будет;0;0
день я;0;0
в сторонний;0;0
пожалуйста что;0;0
планируете использовать;0;0
изменен в;0;0
нашем сайте;0;0
день андрей;1;0
вашего тарифа;0;0
вас будет;0;0
для того;0;0
карту не;0;0
не поступило;0;0
и мы;0;0
от до;0;0
календарных дней;0;0
карту с;0;0
позвонить по;0;0
в обработке;0;0
вы планируете;0;0
мобильном банке;0;0
ожидать поступление;0;0
пожалуйста какую;0;0
не смогу;0;0
как поменять;0;0
попытки неверного;0;0
пожалуйста номер;0;0
банкомат находится;0;0
подключить услугу;0;0
в чат;0;0
и я;0;0
от и;0;0
по этому;0;0
за каждые;0;0
будет комиссия;0;0
если сумма;0;0
месяц не;0;0
по поводу;0;0
будете пользоваться;0;0
оплатить услуги;0;0
средства будут;0;0
ещё чемлибо;0;0
и вы;0;0
комиссию за;0;0
пишет что;0;0
ясно спасибо;0;0
с картой;0;0
нам в;0;0
не знаю;0;0
заработной платы;0;0
в интернетбанк;0;0
вам еще;0;0
банкомат в;0;0
вы нажимаете;0;0
пожалуйста уточняю;0;0
по мск;0;0
что в;0;0
вас нет;0;0
снимать средства;0;0
по данной;0;0
на другую;0;0
ru или;0;0
мне надо;0;0
я вас;0;0
я хотел;0;0
пополнить карту;0;0
или ios;0;0
средства по;0;0
банка на;0;0
денег на;0;0
есть в;0;0
я правильно;0;0
в отчетном;0;0
подробной консультации;0;0
ваши данные;0;0
в соответствии;0;0
которой вы;0;0
андроид или;0;0
карты с;0;0
карту можно;0;0
нашем банке;0;0
по акции;0;0
полный номер;0;0
и более;0;0
в г;0;0
карты комиссия;0;0
на который;0;0
пяти рабочих;0;0
приложении;0;0
выберите;0;0
е цифры;0;0
ещё вопрос;0;0
действующий актуальный;0;0
миль за;0;0
то комиссия;0;0
действия карты;0;0
для погашения;0;0
или на;0;0
о списании;0;0
пришлите пожалуйста;0;0
нужно зайти;0;0
как перевести;0;0
для перевода;0;0
других банков;0;0
еще помочь;0;0
для связи;0;0
всех счетах;0;0
поступили на;0;0
совершить перевод;0;0
просмотреть на;0;0
цифры вашей;0;0
того чтобы;0;0
и до;0;0
мне сказали;0;0
на выдачу;0;0
уже не;0;0
возможно только;0;0
в меню;0;0
сайте https;0;0
за покупки;0;0
понял;0;0
аэрофлот бонус;0;0
за конвертацию;0;0
можно посмотреть;0;0
требований комиссия;0;0
на дату;0;0
операцию вы;0;0
открыть вклад;0;0
проходят в;0;0
ли у;0;0
же вы;0;0
проведения операции;0;0
использовать новый;0;0
такие переводы;0;0
изменить пинкод;0;0
хотели бы;0;0
соответствии с;0;0
и ещё;0;0
между своими;0;0
я бы;0;0
начислены не;0;0
досрочного погашения;0;0
по которой;0;0
в работе;0;0
сожалению не;0;0
можете уточнить;0;0
внести средства;0;0
копилка в;0;0
не может;0;0
в интернете;0;0
карте и;0;0
не принимает;0;0
пинкод в;0;0
не нужно;0;0
не буду;0;0
только через;0;0
пинкод вы;0;0
которую вы;0;0
а что;0;0
отчетном месяце;0;0
предусмотрена комиссия;0;0
деньги затем;0;0
своей карты;0;0
далее реквизиты;0;0
ли вы;0;0
какой у;0;0
алексей добрый;1;0
снятие средств;0;0
письменному заявлению;0;0
банка вы;0;0
смс оповещение;0;0
сумма на;0;0
карта у;0;0
вечер подскажите;1;0
смс не;0;0
пожалуйста скриншот;0;0
то что;0;0
больше нет;0;0
я понял;0;0
тарифному плану;0;0
вас ещё;0;0
того как;0;0
происходит в;0;0
деньги и;0;0
этой карте;0;0
сделать в;0;0
приложении или;0;0
дней с;0;0
вы мне;0;0
следующего месяца;0;0
на этот;0;0
в другой;0;0
просьба уточнить;0;0
по картам;0;0
сумма среднемесячных;0;0
среднемесячных остатков;0;0
будут зачислены;0;0
одноразовых паролей;0;0
вам сбросила;0;0
в счет;0;0
ти рабочих;0;0
ожидание вы;0;0
андрей здравствуйте;1;0
линии звонок;0;0
эту сумму;0;0
когда вы;0;0
фк открытие;0;0
и если;0;0
по письменному;0;0
не на;0;0
еще раз;0;0
и;0;0
они не;0;0
какого времени;0;0
за ответ;0;0
процентная ставка;0;0
в первый;0;0
остаток собственных;0;0
не могли;0;0
пожалуйста когда;0;0
в магазине;0;0
за последние;0;0
погашение кредита;0;0
если телефон;0;0
день алексей;1;0
подробнее далее;0;0
паролей и;0;0
рамках услуги;0;0
го марта;0;0
для просмотра;0;0
полезное затем;0;0
увидеть реквизиты;0;0
последние е;0;0
и что;0;0
срока действия;0;0
не сможем;0;0
по какому;0;0
другую карту;0;0
течение рабочих;0;0
и сколько;0;0
на моей;0;0
что то;0;0
большое за;0;0
на новый;0;0
вы получаете;0;0
в каких;0;0
счетах вклада;0;0
вклада накопительном;0;0
смены пинкода;0;0
на приём;0;0
выбираете подробнее;0;0
получения одноразовых;0;0
сергей здравствуйте;1;0
консультации по;0;0
пожалуйста несколько;0;0
день дмитрий;1;0
вы внесли;0;0
сумма в;0;0
должна быть;0;0
заявлению в;0;0
все операции;0;0
свою карту;0;0
вопрос по;0;0
для уточнения;0;0
я ее;0;0
минуту;0;0
вас было;0;0
и сумма;0;0
в целях;0;0
день в;0;0
хотела бы;0;0
на номер;0;0
в конце;0;0
и за;0;0
пожалуйста почему;0;0
вашим вопросом;0;0
через чат;0;0
вам выходных;0;1
сша евро;0;0
то в;0;0
карте на;0;0
можно снять;0;0
для оплаты;0;0
же в;0;0
открытие или;0;0
кредит в;0;0
распечатать чек;0;0
вклад в;0;0
поступления в;0;0
банкомате стороннего;0;0
операционную систему;0;0
срок от;0;0
свяжется с;0;0
приложении необходимо;0;0
написать нам;0;0
в случае;0;0
можете перевести;0;0
по ней;0;0
как долго;0;0
вопросов нет;0;0
с этой;0;0
я буду;0;0
во вкладку;0;0
не проходит;0;0
уточнить информацию;0;0
день месяца;0;0
для оформления;0;0
как то;0;0
с комиссией;0;0
андроид;0;0
в любой;0;0
карта в;0;0
через дней;0;0
с кодом;0;0
счет и;0;0
вас есть;0;0
эта карта;0;0
не сможете;0;0
операцию в;0;0
такой перевод;0;0
систему вашего;0;0
от пяти;0;0
пяти минут;0;0
уточните будете;0;0
за каждый;0;0
карте нет;0;0
в итоге;0;0
телефону или;0;0
через интернетбанк;0;0
карточный счет;0;0
мили начисляются;0;0
деньги далее;0;0
как быть;0;0
счёт в;0;0
какой лимит;0;0
будет отображаться;0;0
и все;0;0
перевыпуска карты;0;0
с помощью;0;0
при проведении;0;0
бы уточнить;0;0
через мобильное;0;0
и так;0;0
на которую;0;0
и услуг;0;0
сейчас в;0;0
до скорого;0;1
ближайшее время;0;0
здесь в;0;0
комиссия лей;0;0
на досрочное;0;0
операции не;0;0
течение пяти;0;0
можно будет;0;0
хороших вам;0;1
переводы проходят;0;0
здравствуйте александр;1;0
данном случае;0;0
ещё вопросы;0;0
платформе андроид;0;0
реквизиты прямо;0;0
вкладку полезное;0;0
просмотра реквизитов;0;0
какой процент;0;0
необходимо будет;0;0
спасибо жду;0;0
в москве;0;0
дмитрий добрый;1;0
с какого;0;0
банка или;0;0
нет в;0;0
а когда;0;0
здравствуйте а;1;0
перевыпустить карту;0;0
средства не;0;0
она не;0;0
не начисляются;0;0
и с;0;0
а я;0;0
сотовой связи;0;0
я так;0;0
позднее следующего;0;0
на эту;0;0
более лей;0;0
что нужно;0;0
на авторизации;0;0
получить в;0;0
паспортом и;0;0
остатков собственных;0;0
за предыдущий;0;0
для входа;0;0
срок перевода;0;0
номера составила;0;0
составила номер;0;0
чек по;0;0
отражена в;0;0
можете оформить;0;0
календарного дня;0;0
должны были;0;0
и мне;0;0
средства через;0;0
буду ждать;0;0
уточнить реквизиты;0;0
от того;0;0
если средства;0;0
здравствуйте скажите;1;0
открытие и;0;0
выписку за;0;0
когда будет;0;0
для снятия;0;0
а то;0;0
и у;0;0
здравствуйте у;1;0
платеж на;0;0
проверяю;0;0
не были;0;0
на него;0;0
как вы;0;0
следующего рабочего;0;0
после обновления;0;0
нужно сделать;0;0
средства со;0;0
в субботу;0;0
банка при;0;0
карта активна;0;0
и нажмите;0;0
максимальная сумма;0;0
максимальный срок;0;0
полезное далее;0;0
попыток неверного;0;0
такую операцию;0;0
укажите пожалуйста;0;0
технические ограничения;0;0
сможете просмотреть;0;0
то выберете;0;0
затем перейдите;0;0
перейдите во;0;0
полезное правый;0;0
реквизитов нажмите;0;0
в минимаркет;0;0
не подключена;0;0
эту информацию;0;0
пожалуйста какой;0;0
он не;0;0
в период;0;0
течение дней;0;0
вижу что;0;0
дополнительную карту;0;0
своими счетами;0;0
перевод будет;0;0
платы на;0;0
проводите операцию;0;0
мобильного приложения;0;0
отделение по;0;0
подтверждения операции;0;0
на кредитную;0;0
ios;0;0
вам было;0;0
с даты;0;0
далее сменить;0;0
сможете получить;0;0
планируете пользоваться;0;0
после совершения;0;0
после того;0;0
операций в;0;0
для закрытия;0;0
переводы далее;0;0
карте вы;0;0
евро и;0;0
могу перевести;0;0
какого города;0;0
вас была;0;0
заявки на;0;0
день добрый;1;0
дату платежа;0;0
и выбрать;0;0
счета на;0;0
находятся на;0;0
данный перевод;0;0
в ближайшее;0;0
пожалуйста операционную;0;0
алексей здравствуйте;1;0
ваш новый;0;0
далее вкладка;0;0
баланс по;0;0
со своей;0;0
банкомате и;0;0
карту к;0;0
вас телефон;0;0
сергей добрый;1;0
а у;0;0
остаток на;0;0
по переводу;0;0
платеж в;0;0
возможно по;0;0
приложении на;0;0
плата за;0;0
карту через;0;0
перевод был;0;0
занимаюсь вашим;0;0
чтобы не;0;0
какая комиссия;0;0
что с;0;0
контактный номер;0;0
поменять номер;0;0
карта была;0;0
платеж не;0;0
платеж по;0;0
не можете;0;0
информацию в;0;0
если перевод;0;0
я поняла;0;0
мне нужна;0;0
какую операцию;0;0
обращаться в;0;0
уточнить в;0;0
банк финансового;0;0
должно быть;0;0
бонусные рубли;0;0
деньги выбрать;0;0
а среднемесячный;0;0
хотите уточнить;0;0
дмитрий здравствуйте;1;0
установить новый;0;0
ожидание ответа;0;0
проверю вашу;0;0
дней необходимо;0;0
уточнить ваш;0;0
полезное в;0;0
лимит по;0;0
в котором;0;0
мне на;0;0
не приходит;0;0
почему;0;0
то вы;0;0
сторонних банков;0;0
priority pass;0;0
вас по;0;0
вы совершали;0;0
возможно в;0;0
проценты по;0;0
реквизиты в;0;0
в год;0;0
интернетбанке и;0;0
ежемесячных поступлений;0;0
поступлений заработной;0;0
смс уведомления;0;0
приложении вы;0;0
ли это;0;0
что такое;0;0
отображается в;0;0
карты банка;0;0
нас нет;0;0
выбрать раздел;0;0
открыть счет;0;0
я его;0;0
и когда;0;0
дней в;0;0
дня следующего;0;0
снять в;0;0
вы забыли;0;0
более сумма;0;0
конечно;0;0
карту или;0;0
средств с;0;0
посмотреть в;0;0
операций по;0;0
карты а;0;0
старый номер;0;0
старым планируете;0;0
получить карту;0;0
наверху полезное;0;0
условиям вашего;0;0
любое отделение;0;0
условия вашего;0;0
от вашей;0;0
необходимо внести;0;0
календарного месяца;0;0
я понимаю;0;0
первый раз;0;0
день у;0;0
у банка;0;0
карту по;0;0
спасибо огромное;0;0
не отображаются;0;0
данную информацию;0;0
сроки зачисления;0;0
есть возможность;0;0
на балансе;0;0
сумму в;0;0
из них;0;0
здравствуйте мне;0;0
зачисления средств;0;0
на лей;0;0
могу узнать;0;0
вы уже;0;0
отрицательный остаток;0;0
снять наличные;0;0
можете позвонить;0;0
когда я;0;0
как посмотреть;0;0
течение минут;0;0
для карты;0;0
поступило в;0;0
ваш счет;0;0
отделения банка;0;0
все спасибо;0;0
зарплатная карта;0;0
вы увидите;0;0
принимает заявки;0;0
для подробной;0;0
на ваше;0;0
ваш вклад;0;0
